"","日期","骑行","跑步","跳绳"
"1",2024-01-01,3.64,0,0
"2",2024-01-02,3.93,0,0
"3",2024-01-03,8.09,0,0
"4",2024-01-04,4.04,0,0
"5",2024-01-05,4,0,0
"6",2024-01-06,0,0,0
"7",2024-01-07,8.17,0,0
"8",2024-01-08,3.98,0,0
"9",2024-01-09,8.47,0,0
"10",2024-01-10,8.26,0,0
"11",2024-01-11,8.15,0,0
"12",2024-01-12,8.13,0,1721
"13",2024-01-13,4.8,0,0
"14",2024-01-14,0,0,0
"15",2024-01-15,8.04,0,0
"16",2024-01-16,8.18,0,0
"17",2024-01-17,8.09,21.1,0
"18",2024-01-18,7.99,0,0
"19",2024-01-19,4,0,0
"20",2024-01-20,0,0,0
"21",2024-01-21,0,0,7000
"22",2024-01-22,8.05,0,0
"23",2024-01-23,8.11,0,0
"24",2024-01-24,6.46,0,0
"25",2024-01-25,7.26,0,0
"26",2024-01-26,7.33,0,0
"27",2024-01-27,11.8,0,0
"28",2024-01-28,0,0,0
"29",2024-01-29,3.08,0,0
"30",2024-01-30,7.66,0,0
"31",2024-01-31,0,0,0
"32",2024-02-01,0,0,0
"33",2024-02-02,3.6,0,0
"34",2024-02-03,0,0,0
"35",2024-02-04,0,0,0
"36",2024-02-05,7.03,0,0
"37",2024-02-06,0,0,0
"38",2024-02-07,0,0,0
"39",2024-02-08,4.5,0,0
"40",2024-02-09,0,0,3001
"41",2024-02-10,0,0,0
"42",2024-02-11,0,0,0
"43",2024-02-12,0,0,0
"44",2024-02-13,0,0,0
"45",2024-02-14,0,0,0
"46",2024-02-15,0,0,0
"47",2024-02-16,0,0,0
"48",2024-02-17,0,0,0
"49",2024-02-18,6.03,0,0
"50",2024-02-19,14.1,0,0
"51",2024-02-20,0,0,0
"52",2024-02-21,0,0,0
"53",2024-02-22,0,0,0
"54",2024-02-23,3.6,0,0
"55",2024-02-24,0,0,0
"56",2024-02-25,3.2,0,0
"57",2024-02-26,3.2,0,0
"58",2024-02-27,6.48,0,0
"59",2024-02-28,0,0,0
"60",2024-02-29,0,0,0
"61",2024-03-01,6.58,0,0
"62",2024-03-02,27.33,0,0
"63",2024-03-03,83.29,0,0
"64",2024-03-04,0,0,0
"65",2024-03-05,0,0,0
"66",2024-03-06,0,0,0
"67",2024-03-07,7.18,0,0
"68",2024-03-08,0,0,0
"69",2024-03-09,63.13,0,0
"70",2024-03-10,0,0,0
"71",2024-03-11,3.37,0,0
"72",2024-03-12,10.85,0,0
"73",2024-03-13,6.91,10,0
"74",2024-03-14,0,0,0
"75",2024-03-15,6.93,0,0
"76",2024-03-16,0,0,0
"77",2024-03-17,0,0,0
"78",2024-03-18,6.68,0,0
"79",2024-03-19,7.42,0,0
"80",2024-03-20,22.53,0,0
"81",2024-03-21,7.58,0,0
"82",2024-03-22,7.11,0,0
"83",2024-03-23,0,0,0
"84",2024-03-24,21.72,0,0
"85",2024-03-25,7.7,0,0
"86",2024-03-26,7.06,0,0
"87",2024-03-27,6.65,0,0
"88",2024-03-28,0,0,0
"89",2024-03-29,0,0,0
"90",2024-03-30,14.04,0,0
"91",2024-03-31,15,0,0
"92",2024-04-01,3.51,0,0
"93",2024-04-02,4,0,0
"94",2024-04-03,4,0,0
"95",2024-04-04,0,0,0
"96",2024-04-05,0,0,0
"97",2024-04-06,0,0,0
"98",2024-04-07,0,0,0
"99",2024-04-08,0,0,0
"100",2024-04-09,6.68,0,0
"101",2024-04-10,3.7,0,0
"102",2024-04-11,3.63,0,0
"103",2024-04-12,4,0,0
"104",2024-04-13,0,1.2,0
"105",2024-04-14,0,0,0
"106",2024-04-15,6.6,0,0
"107",2024-04-16,6.74,0,0
"108",2024-04-17,0,0,0
"109",2024-04-18,6.39,0,0
"110",2024-04-19,3.8,0,0
"111",2024-04-20,0,0,0
"112",2024-04-21,92.08,0,0
"113",2024-04-22,0,0,0
"114",2024-04-23,0,0,0
"115",2024-04-24,14.57,0,0
"116",2024-04-25,6.85,0,0
"117",2024-04-26,13.07,0,0
"118",2024-04-27,21.84,0,0
"119",2024-04-28,7.08,0,0
"120",2024-04-29,7.34,0,0
"121",2024-04-30,0,0,0
"122",2024-05-01,0,0,0
"123",2024-05-02,75.28,0,0
"124",2024-05-03,59.97,0,0
"125",2024-05-04,3.15,0,0
"126",2024-05-05,60.55,0,0
"127",2024-05-06,0,0,0
"128",2024-05-07,7.02,0,0
"129",2024-05-08,15.63,0,0
"130",2024-05-09,6.83,0,0
"131",2024-05-10,7.74,0,0
